id,usd_value,follower_count
0x614d98a57a5d879d717152de0690ed2b04562ade,7074115.38800753,13305
0x171c53d55b1bcb725f660677d9e8bad7fd084282,5391326.344932465,35481
0xe1f8afc92644bfe77080d7dcb0f936f578e00f53,3968742.202352324,10676
0xc25d35024dd497d3825115828994bb08d12a3aa7,3583499.386923039,6687
0x5922160c970573663914f8e53644a0615e8fa8d2,2888631.9463724457,9749
0xc47fae56f3702737b69ed615950c01217ec5c7c8,2873897.1141094756,18409
0x54dc6782d6fc5fc05f8486d365186ff25cc44ba7,2679546.29090875,5909
0xef80c44d996ebac95aa62589986fb3fcdfe3f7d9,2088841.4166885752,15651
0x908d8d559a6fb979e3c3221039e5b8c3c5c2e91a,2023672.1803409802,4401
0x03104c9661f97a1a882a797964f46d968d518126,1076255.9094708064,4571
0xa96cc6e271f0c77c695e0013673831f9dc182fdc,959230.7983016537,7605
0xf4117b338fa4eb2e27579d8ffee3923b0f15d85a,867633.3765111191,1788
0x99d37b12f4700b4c1f6b237ac04206c1a581d61f,651736.9038025354,1899
0xd7e01f0403776e3cff89364fbb4fae462329094a,636999.562899495,2666
0xa67b426eb6de4c24ecb3f778ed3f9c09ae0699cb,547788.3007538015,11230
0x16224283be3f7c0245d9d259ea82ead7fcb8343d,455997.716547061,1276
0x5580ba66f8d6dc71adb0ca1d1c6b3d142ff7aaca,408925.0848049603,4316
0x231a432fb518cd155b348f334b2aefd6f22063a7,399767.9616506446,1873
0x58b61d71a801beffe49ed1a8e01a908be965ca1b,376727.6614822082,10914
0xd419f6692431e23f97d360e563f38ea0d53d5cb8,306983.6416229599,175
0x470d235ca1caff614abee02d98ac3aa89a6758bd,303834.8992758974,4669
0x87a09bef77c381adc4f69d12a593a3a2604b13d1,289491.3472559014,3807
0xf69c4bd64799e7e21829f15be99adee089a8d1c9,268475.2894392779,3543
0xa582c011842e4aa4d3e3578128dd9851c5846a5c,253025.4101676804,4082
0xdb10d21f28a34fd04e4425eac777483798f7e217,223920.01250024923,3547
0xb2c304b3f68698b867509701d7deebbfa6e7a95e,212116.6324435267,441
0xf318a2f77816c166181597e53ec95773c7d70262,206907.45059036647,3483
0x75441c04d34e79199669af38fed65c03a9cd91d5,193123.4608043207,454
0x8019067c09ea6587383f728bdc708f41590a12ce,182678.3138480548,1937
0x49236ce2eb4b67618513b37f09c101183e7367f6,180752.50511724522,3880
0x14e56cf9e6257475f9b6310adc98865fc24d6504,177445.27228649723,913
0xb957dccaa1ccfb1eb78b495b499801d591d8a403,172919.16830803003,1396
0xb7babe35ce543e2cf2f615cb1c792a2025feb572,166085.76971849333,3674
0x63466393a5590be4932712b4f5389f1fbed67f28,165289.64856664214,1863
0x10fe160dae09a8d2fce9d19767f0e888237cdae1,155963.55668708595,1825
0x06c5606ff51ea7c1908f8f88056333dfcedd940c,149899.9328397874,6430
0xef9c13ea6b615fa61cbdec56c7b4978b9dd8bb46,142304.44590986887,420
0xc5f6b52bdabce080a68b49e80ea264699c174882,140247.69849574278,1629
0x8ae4c29c97a9dfba7a4440c6336a7d37eba0e12c,137635.33761252192,6696
0x54f2d57856e44dcf81880df34df300d145cc7d57,133121.97277160888,1508
0x91bcc0721321378a767d104d19a9d5c1fb40f3eb,128775.2021720977,1060
0x04acd24fd2b2d0d19d9864ce81ec4f3f55cb1ffe,126017.70385150147,322
0x77627caa1c7920b3c0a1be06e52d08000309f3a7,124046.62375526293,6578
0x40e494cdd7f6ee95449e06a74b767fb93c3623c5,121451.15841178734,3327
0x93ba50acc2517f8567f0e919324a83e6574fb7a6,106210.72333441544,2964
0x257d74fc229f91de6285a4c7bdd6d5004de9aa31,105276.03496644525,1385
0x7a5e66249841476f348bd95c5a8c51025da28066,103585.6529584287,2423
0xa663473951a57fe34c0a8f4e3d869a29593cf5bc,100357.11650641638,3328
0xa5fa6f7a47cce9381cbc63edc9dd55d3520270c9,98034.62730867609,8299
0xa5d346e5855069afcaa0e8d0356fd46f6269b796,96674.9030798991,181
0x8462e77e0c0068d603ffebb7f21e579f0119f1fc,96149.75224079247,1419
0x65f7fc5d4cefe4fd2af6c40b3b8ffd41d9addf78,94824.37574088504,307
0x7baae4eab0e08ebb47f0b39acd77e390d4f321cf,92253.89683765321,3856
0xaf96d0f5eb09ec2dd5c0b9d887acb45201464481,89491.55195891278,240
0xc52a2f987f79d29ae241bb62452ea76264ea567b,88354.98376383224,3101
0x83febcf72458393a3957cc9793a9f04ff59a3d45,87927.92943471635,783
0x0ce02d3a89efa218cd0f486514cae77d74b88bee,86934.5440649214,5882
0xe945b6dd95e27bf82ec775f8e746918fb8361acb,86539.80205514304,4393
0x21bf63c0418d4f1d13f884c50498b2259b321b43,82759.24156235738,2221
0xf84d6d2dc4a432b98a7d5b3160373d33158a4c84,81923.45527466855,3267
0x2f361e48a3a6631429f35376eccb2ad79cfb5db2,78961.3351658669,2096
0xfa2ea98950997c2292175cc2e32c33aca4bee7e0,78919.03711068882,2642
0xe16609a91291dd45abfcd8555b6cb3800a86a4a8,76864.1013800617,4520
0xeb28c7bf43ac522673498d9f93dd6461f87c569b,76655.83499195159,7607
0x7522682a93738e7da3ab42959d61cd809fe62440,76410.67681366985,10377
0x44fc7c5dbcf1c40b4546571453157fd52bf08195,76395.79483526493,2384
0x1cad695af5639c5657bff199b875352adf682dbc,72954.06277313536,281
0x5b7bb5402974a672f20577261360c5b5fcba71f8,72283.94278449878,1187
0xcd0d4cdb238eec15fcf4ff9d13d5a59051e507d7,71265.23936990695,10967
0x00489ddbf5aa399ee576c066a25cc908e038721f,69078.49513321112,2613
0x103fe2ff1b3c83ca4ad94d4981d8f93dbb41b558,67779.80758413546,5588
0x92c90a4ea6f205dee545ac348bbf005c4a019c78,67228.79409237887,1645
0x9dc3e0fc228c2455773e70ee9e987ae2a6fbc07d,66781.71768772967,7733
0x55a5566a4ec83319051c67d416be07c0e474c560,66736.65936414029,2524
0x64ecc4f8ff76e58d7c2245f34d32b039ebf42bdf,66224.64213392581,602
0x9374555a5e6493e00865fbfd230dbd4874ebaec8,65754.0961889567,482
0xa9db9fb3c49bd6580ed63bbd1de43cb52534ab1e,63058.3231629741,2497
0x6502a71d679303d49a0b29e407e023aa97498c07,62243.03279342245,453
0xf3eab2365c8689d7d429e9cf03c78b29f07907b1,62205.71795535361,14233
0x78e95be19b463493157a190d870a6520ec4a3c8c,61855.813346466806,469
0x49574d30abe0c17c23c5d2af46e768fbfa76a65d,61748.421734452044,2742
0x69cb2ce712a6ff3f4479b144784505bdaeb23f0f,61523.776723537085,952
0x8caac1cd3de19fd5b1acaa79e5b157df30f7fc0d,60899.928132110144,6036
0xb7e163c290f1301adc7d37b42ed6d7067093516a,60695.72537014598,2553
0x02d926b835ca2545821c70133eff7070094608e5,59405.38041227726,440
0x32869721ef080442ec128fc1ddb6673006bc5aa9,58995.95180398419,465
0xf3948a19a19e56220560c19a498471dccf6f1b66,58781.29385268822,393
0x9e7ff02752a278562db68c98247214870c8590ba,58181.722033379985,516
0x47a235f03b07f57d9c39aff3beb00364db9e46b0,58098.22635846711,3911
0x7e1d89efe0d75b659fece9159801fd9df37c0ac0,57773.499897060516,13805
0xb6b14d0521cdd4ff8f89b15caaf151babd14b53e,57402.7500360456,672
0xad036a7e58dfa18a6511e85d29b0341e16bcbd9b,57163.68192077893,5850
0xb32b84a193ee43a62bd48a7cc9ae1090a38d2654,56900.06221948177,933
0x1a6169723cb29a83309d956989fb87af4a73aed9,56684.1622173651,486
0x337486713564b15448af003c8307c1f5457202d5,763.3239898473018,122
0x2cb709cd42e9ae88871756d0f8bc61a61ea8d463,761.8325469140412,1579
0xb4c45a805dd07d7ea71757451c06b540375a3352,761.356332896215,31
0xa879992d43f2267b14f92b7879e222763e375018,752.7483328024709,230
0xe884b3bd1b24a77f579df6994f30ea731d86e3c9,749.8653953983347,226
0x952ea8ac9a65fcacf9ce57cc0797726962c7b614,749.8638079497199,5755
0x168fef2fd1af371625b2593468620185cea904ff,748.7467968488733,2548
0xbec6606a5c665a176db1300e24d7f0afee98e3c4,744.8768579734455,12924
0x80db5de89c55049240fb433974325f308ff1a94a,741.0398620589483,34
0x62095bd48442e556e92df62b2d5e274f02a1c447,740.9318858697752,363
0x199a086e2448489e8a9ea36b28d6b2db8d73ee43,733.8675931760029,157
0xc5063a157362676a666a06006ae836057724651b,733.2204867345698,1478
0xe6a8e77027e2c8f05e2e3da8d872e252673f6304,729.9046559041209,357
0x63b6cec45c8a920e187428629abffbcbf9cda263,729.5016648943351,111
0x16673c14d56f33f4a480e04b617f9a53aeb4c759,729.4349873238607,594
0xb03c248e94e7f6ede318bd67e604c96a524d6a93,728.6649200599378,4517
0xad133b6faa8bafce203939911517c2f14e5a9cc6,719.6176163922179,809
0x1d8569f1ed2000420912abab46ac08e3b6f59e75,719.4760822367858,67
0xee8513d68899384fd0d56f1f04314a0604d9ed9b,718.8732678657453,768
0xae6b10bd40d92c00a0a7582d055d687f1ce47edf,716.8968362483063,12473
0xc100939af2f15c4a441cb396d76b6fa4ffe29c05,712.9596388928895,479
0x1f07f91310713b73d8ad8784d333e497e84fabac,712.0787881053477,255
0x32844efb1c340505a534cbc616220e2777bfd618,707.1712271211364,1514
0x9f546760f86be7397c1ca865f0222c0a8d74906a,702.7373929179946,140
0x1aa91ddd23d3007c47d70958bf1bc28eab48398c,701.1141158556302,132
0xb806355eba0c92fd5d2733ffaef0cefc3fd653b4,701.1131237529922,1579
0x9ef1f6f5ef0dbd7b7ba59ef423a8e78787b2d678,698.7839224721994,1493
0x847b3b1d1a27b50d4f5185db4147122e2b7f717b,689.88850153367,410
0xd45d5fb01e062fb466f3d402f2e90583b9c90954,688.9456654532447,639
0x4a5c80d6d119d674bd857dedd144ff3038153444,680.4719338406006,1053
0xe34999320b25b4afee562f74c22387c4b898f63e,672.8212036097458,1195
0x622ee46278ce2daa5b6c8be72060e22991af3950,670.8723356404298,1078
0x76d97c37315865ce7d6a55e2c8079f0b416a5e4f,667.80517882228,116
0x0f1468a9dd8d9165e8a2b7b942fee0e7b65642f6,662.7267926564386,166
0xcce79a4436c6a015ed7a821f57e0911890fbcf51,660.7328999045023,225
0xdd0cefc5b3d637f7f005f2f22e90c23285bc50a6,659.3017373136241,366
0xf1feab69637e6d0de7d5192c56ea043085938a87,656.5662837551442,85
0x112b70d6e9211ed11e87e254f670932b5e0befb6,655.4041464490837,453
0xde7770d488e9adf55baa7f98d345d470c2813247,654.5511372438185,317
0x5a9de3c0200e70142c4dfa30d34d6a154145ec09,653.0805262920412,36
0x53c450d75dcc363224b436cfba8111c563617ee6,648.4126817524225,1018
0xb58fb53377521d64766d12a317e330cabd4326f3,644.2693172527765,83
0xeb3e6ffbd704353c1a52739ff606cabffa4d070e,641.0059909155397,1507
0xd09a5568644a998900d9abfcd053b9fb95b4b456,640.9742568831492,207
0x04ad3f3ec23ba3ccdbad8a211dd10b13e5b58f05,639.2159218205173,665
0x35750fb402fbe95cdad0966a4002ea732c3697ff,638.2976049165289,19
0xb748216f9424636d5ca5476f8088a4e256d7672a,638.2338387086892,333
0x3747fac42b8df0ba8277f807620812bd1a1d9b56,633.3607879527785,864
0x753f5b889d367251f072e640292fff08c2dbd168,629.9802561902214,121
0x85f161e0d19e13b56e4118f2eff6f3347e7209ce,622.8257232687608,4453
0xd3425a869f418ae3e33b8ffc43f753a119202383,621.972429863913,595
0xc6483690b41ae1be8e87fbdd39214e900451c6f3,621.7414104123582,1070
0x854c8ffdc5b73991d397626a6cfdff9cf7a53d8c,619.8876518912921,6681
0x4dfa6437d40beb0d3b1497024fe7843f41748964,619.2811910632021,372
0x993d3a7f7265e143dc05f50f7d86da82074f2138,619.2411535093336,570
0x1b287d2a5dc76c1feea3b963e046724cbc5947ce,613.7475974785875,159
0x7724d9dc4ff230740c762466c743887d42813beb,613.513126498984,488
0x221643bb1d0eacdb9ac182b5b0f9c90803203ba9,607.3639706074816,1978
0x8c05f4bb0491883a0d62dfddbb5c81bf93e8523d,605.8320673847686,191
0x9b4182a3e49ab9016d2054dc19dc206e3fffa7b5,605.4072487719558,270
0x25132bb3a3276d1cb05f975e790f86b5122b34e4,604.5361054252459,86
0x602e083e813beaed85d39637eeb47259a2dc163c,601.9929314140101,184
0x7689d9c2be0d44e1091e80261f8f72dba916b11e,595.6051099738754,3
0xe38c101875e034bc5ff90d8d77c81e646aa207ba,593.3947197898684,1937
0x65e28117885528496e7024e93d5eb9c3780e6c3e,592.7180646667877,31
0x97453a0b667cc52b52ad829b467b8054faf258bd,592.3416914498155,268
0xe1e874263653ee2b62c9c19fd740ef10c663bbf9,583.1444621206293,4299
0x603c92526e9f87e98f827c8a439f3645d0057740,580.3052225982254,2
0x4d4d040e2c698406a31eb8a2029115813cbc30aa,579.679600923543,213
0xdfaa1186c496f6b879823ab319b13ffd2f064890,578.8521578511711,1282
0xeb87dc7c569003bfb7fa0cae85f04ac0c20d223f,575.5135728156642,362
0x9b242cca5c5e972969cf61a1db488b2ba22be099,563.5195550747326,488
0x3a26ee70cf94def8e64a6e65e2456e14ada7282f,562.9353369753172,110
0x1853d65924d832382929db8179e6eaefd0d8c9b2,560.7401027301337,113
0x50f8e743dd6e3c864db0846ba8f4485d7c7595f0,554.1839576010522,453
0x410df933b92277fd9059326c889fee0387991248,553.6128736245414,2679
